County_Name,Count
Albany,3026
Allegany,121
Bronx,28368
Broome,1880
Cattaraugus,967
Cayuga,908
Chautauqua,2373
Chemung,1081
Chenango,327
Clinton,545
Columbia,288
Cortland,612
Delaware,83
Dutchess,1134
Erie,6366
Essex,88
Franklin,140
Fulton,698
Genesee,649
Greene,93
Hamilton,2
Herkimer,207
Jefferson,1174
Kings,46127
Lewis,80
Livingston,133
Madison,559
Monroe,5677
Montgomery,791
Nassau,14860
New York,35368
Niagara,2805
Oneida,2850
Onondaga,5213
Ontario,622
Orange,2835
Orleans,82
Oswego,1503
Otsego,403
Putnam,51
Queens,34981
Rensselaer,1412
Richmond,7099
Rockland,434
Saratoga,1126
Schenectady,1855
Schoharie,34
Schuyler,82
Seneca,84
St. Lawrence,632
Steuben,873
Suffolk,14942
Sullivan,118
Tioga,106
Tompkins,618
Ulster,974
Warren,547
Washington,147
Wayne,163
Westchester,7163
Wyoming,188
Yates,54
